,autumn,spring,summer,winter
0,0.2530333333333332,0.38198717948717936,0.6284375000000004,0.060748366013072035
1,0.09378024193548384,0.7183080357142857,0.14243055555555503,0.18242368421052607
2,0.050235795454545366,0.9837857142857142,0.36877499999999985,0.040741666666666676
3,0.07708357771260982,0.6763212121212122,0.502388888888889,0.307361111111111
4,0.3477833333333331,0.4982268907563025,0.56,0.18772875816993453
5,0.29911805555555565,0.4490982142857143,0.26041666666666724,0.05610160427807487
6,0.14034801136363645,0.08816483516483507,0.05389999999999981,0.3463562499999999
7,0.009363636363636407,0.07423809523809506,0.06517857142857189,0.33976225490196077
8,0.13342831541218667,0.20015833333333335,0.0013777777777784772,0.21740277777777767
9,0.10985080645161303,0.028175213675213136,0.06461904761904758,0.2506944444444445
10,0.095959375,0.013866666666666581,0.06545714285714238,0.34931818181818186
11,0.16774865591397844,0.11983333333333314,0.11975000000000019,0.14693181818181816
12,0.06796666666666665,0.09852083333333338,0.15315000000000012,0.09397222222222229
13,0.028617511520737268,0.00631118881118868,0.2809777777777777,0.07976041666666656
14,0.089921370967742,0.13181447963800896,0.009737499999999955,0.011862745098039138
15,0.10041935483870973,0.05096875000000012,0.1734821428571432,0.13169444444444434
16,0.32522307692307667,0.2369679144385026,0.15544999999999973,0.06431339712918649
17,0.1966862745098039,0.04486057692307668,0.12369642857142836,0.010656249999999978
18,0.15095937499999976,0.07814102564102576,0.03644444444444464,0.10510714285714301
19,0.1909874551971326,0.510360606060606,0.22187499999999985,0.044485294117646845
20,0.11609722222222224,0.5872285067873305,0.18533750000000015,0.00043749999999992406
21,0.09306875000000003,0.23824350649350656,0.06669999999999963,0.12853418803418792
22,0.20344602272727252,0.2995312499999999,0.21143749999999958,0.24698076923076928
23,0.44639423076923057,0.13373076923076932,0.2761454545454547,0.14290625
